id,text
170,"Вийде, ляше, на наше"
171,"Вийде наверх, як олива на воді"
172,"Вила гострі, а їден кінець мають"
173,Виливали воду й дитину вивернули
174,"Вилились, як з воска, в матір"
175,Винного двома батогами не б’ють
176,"Вирвався, як заєць з конопель"
177,"Вирвався, як Пилип з конопель"
178,"Вискочив, як голий з маку"
179,"Високий до неба, а дурний, як треба"
180,"Високий, як дуб, а дурний, як пень"
181,"Високий, як тополя, а дурний, як квасоля"
182,"Високо літає, та низько сідає"
183,"Витріщив очі, як козел на нові ворота"
184,Вище лоба очі не ходять
185,"Від диму закоптишся, від води замочишся, а часом і зовсім утопишся"
186,"Від огню біжу, а в воду скачу"
187,Від смерти і в печі не замажешся
188,"Віз ламається – чумак ума набирається, а як віл пристає – то ума не стає"
189,Війна посеред гайна
190,"Вік живи, та дурнем умри"
191,"Вік наш, як година"
192,Вік не вилами перепхати
193,Вік один – другого не буде
194,Вік прожить – не поле перейти
195,"Він коня шукає, а кінь його"
196,"Він мене знає, як чоботи на своїх ногах"
197,Він пан своєму слову
198,Він сам собі руку січе
199,"Він так боїться, як заєць бубна"
200,"Він такий на його добрий, що в ложці води утопив би"
201,Віра й гори зсуває
202,"Вітер віє, собака бреше"
203,Вітер свище в голові
204,"Віщував календар, та в помийницю впав"
205,Вліз межи молот і ковадло
206,В ліс дров не возять
207,"В лісі був, а дров не бачив"
208,"В лісі дрова рубають, а до села тріски падають"
209,В мутній воді рибу ловить
210,"В нас просто: борщ, каша, третя кваша (багацько не треба)"
211,"Внесе нечиста, не винесе й пречиста"
212,"Вночі всі коти бурі, а всі корови сірі"
213,Вовка боятись – в ліс не ходити
214,Вовка ноги годують
215,"Вовк не такий лихий, як страшний"
216,Вовк сливи поїв – Гапон вусом моргає
217,Вовча натура в ліс тягне
218,"В огороді бузина, а в Києві дядько"
219,Вода й камінь довбає
220,"Волос сивіє, а голова шаліє"
221,Волосся з голови рвати
222,"Вони невчені, нічого не знають, чвалаями ходять, а бісів проводять"
223,"Вони такі убогі, що землю держалном міряють, а худобу ложкою"
224,"Ворона маленька, та рот великий (... а великий кусок м’яса ковтне)"
225,Ворон ворону ока не виклюне
226,"В очах мигтить, а в голові свистить"
227,Впав у біду як курка в борщ
228,В роду не без уроду
229,"В свининці родившися, між святими не обідати"
230,"Все в оренді, брехня не в оренді"
231,"Все йде в гак, пішли на пси"
232,"Все однако – що Яким, що Яків"
233,"Все один чорт, що собака, що хорт"
234,"В старці пугою не вгнати, а з старців калачем не виманеш"
235,В степу і хрущ м’ясо
236,Всяка птичка своїм носиком живе
237,Всяк ласий на чужі ковбаси
238,Всякому своє рило мило
239,Всяк по-свойому казиться
240,"Всяк правду хвалить, та не всяк знає"
241,Всяк сам свою долю кує
242,"Вхопив, як шилом борщу"
243,Вченому й чорт яйце несе
244,"Вчепивсь, як злидні бондаря"
245,В чуже просо не тич носа
246,В чужий манастир із своїм уставом не ходи
247,В чужий черевик ноги не саджай
248,В чужій церкві не паламарюй
249,"В чужім оці й порошинку бачиш, а в своїм і бревна не примічаєш"
250,В чужу церкву з своїм уставом не носись
251,Галушкою вдавився
252,"Ганя, як чорт по болоту"
253,"Гарна дівка, як засватана"
254,"Гарні гості, та не в пору"
255,"Гірке життя, гірка доля – що ж робити, божа воля"
256,"Гіркий світ, а треба жить"
257,Гість хазяїнові не укажчик
258,"Гість, як невільник – де посадять, там і сидить"
259,Глас вопіющого в пустині
260,Гляне – молоко ки��не
261,"Гнись не гнись, а в голоблі становись"
262,"Говорить, мов блекоти об’ївся"
263,"Говорить, що слиня до губи принесе"
264,"Говорить язик безкостий, та договориться до одного кінця"
265,"Голий, аж крізь ребра видко"
266,Голий розбою не боїться
267,"Голий, як бубон"
268,"Голий, як ��олоня"
269,"Голий, як мати народила"
270,"Голий, як миша (церковна)"
271,"Голий, як палець"
272,"Голий, як пень"
273,"Голий, як турецький святий"
274,Голим задом їжака не задавиш
275,"Голова велика, а розуму мало"
276,Головою стіни не проб’єш
277,"Голоде, дай їсти"
278,"Голод і бреше, і краде"
279,Голод – не тітка
280,"Голодний, як собака (... як пес)"
281,Голодній кумі хліб на умі
282,Голодній курці просо на думці
283,Голодному хліб на думці (на гадці)
284,Голод усього навчить
285,"Гонить, як вітрів батько"
286,"Гора з горою не зійдеться (не сходиться), а чоловік з чоловіком зійдеться"
287,Горбатого могила виправить
288,"Горобець – молодець, а ластівка краще"
289,"Господар (майстер) такий кепський, як з собачого хвоста сито"
290,Готовеньке й кішка з’їсть
291,Гречана каша сама себе хвалить
292,Гріш круглий – розкотиться
293,Громада – великий чоловік
294,Грошам лиця нема
295,"Грошей багацько на світі, а щастя мало"
296,Гроші всігди хороші
297,Гроші не пахнуть
298,Гроші то й роблять біду на світі
299,"Гуляє, як риба в морі"
300,"Гуляй, дитино, покіль твоя година"
301,"Гулять, так гулять: бий, жінко, ціле яйце в борщ"
302,"Гуляй, тато, – завтра свято"
303,Гурт зробить – гурт ззість
304,"Густо дивиться, та рідко бачить"
305,Гусь свині не товариш
306,"Дав бог роток, дасть і шматок"
307,"Давно пропало, що з воза впало"
308,"Дай, боже, ноги!"
309,"Дай дурню товкач, він і вікна поб’є"
310,Далеко п’яному до Києва
311,"Далеко, як небо від землі"
312,"Далі в ліс, більше труску"
313,"Дар за дар, слово за слово"
314,Дарованим конем не їздити
315,Дарованому коневі в зуби не дивляться
316,Дасть бог і від квасу окрасу
317,"Дасть бог лихо, то дасть і розум"
318,Два коти в однім мішку не помиряться
319,Два третього не ждуть
320,Двічі літо не бува
321,"Двоє кукало, а одне полетіло"
322,"Двоє недужих сіли, та й хліб ззіли"
323,"Де багато баб, там дитя безпупе"
324,"Де багацько господинь, там хата неметена"
325,"Де багацько няньок, там дитя каліка (... без голови)"
326,"Де болить, там і торкнеш"
327,"Де борошно, там і порошно"
328,"Де верба, там і вода"
329,"Де вже нам грішним – тільки й ходу, що з мосту та в воду"
330,Де вже нашому теляті та вовка піймати
331,Де господар не ходить там нивка не родить
332,"Де грім гуде, там мокне щось"
333,"Де гріх, там і покута"
334,"Де їдять – там не пхайся, а де б’ються – звідтіль утікай"
335,"Де каша з маслом, там нас немає"
336,"Де коротко, там і рветься"
337,"Де літував, там було й зимувати"
